row_index,true_abusive,prob_abusive,pred_abusive,true_Race,prob_Race,pred_Race,true_Religion,prob_Religion,pred_Religion,true_Gender,prob_Gender,pred_Gender,true_Sexual_Orientation,prob_Sexual_Orientation,pred_Sexual_Orientation,true_Miscellaneous,prob_Miscellaneous,pred_Miscellaneous
0,1,0.2944865162901562,0,0,0.13085111032114458,0,0,0.08463086063566128,0,0,0.5598243514622471,1,0,0.6436507048761394,1,0,0.26235960014020593,0
1,1,0.9097004553691289,1,1,0.9954360839311133,1,0,0.061844909559530134,0,0,0.2709050408287681,0,0,0.2221071510491606,0,1,0.2112633664705974,0
2,0,0.41535554399295366,1,0,0.28087188978780103,0,0,0.08544712630962714,0,0,0.2018828696737758,0,0,0.031684673270619565,0,0,0.3719285081048511,0
3,1,0.9284873689043655,1,1,0.9246920650179808,1,1,0.9998849822316469,1,0,0.2504424628330881,0,0,0.10664925459390527,0,0,0.18765671471100603,0
4,1,0.8557889280840428,1,0,0.24020844736322403,0,0,0.13258990870871765,0,0,0.36916767300185,0,1,0.989167897408701,1,0,0.2587607802064212,0
5,0,0.6033047627964842,1,0,0.4772728953438062,1,0,0.5804120546347628,1,0,0.19180185983738757,0,0,0.7022027245277274,1,0,0.0873009508702311,0
6,0,0.46059568476640966,1,0,0.9157543330938196,1,0,0.4462501453786538,0,0,0.3221455364294433,0,0,0.0659599063174144,0,1,0.1961953576559164,0
7,1,0.32518401625004795,0,0,0.10970976941418298,0,0,0.1949544192534162,0,0,0.393588671485102,0,1,0.6872837445656136,1,1,0.21487736031774382,0
8,1,0.5199151256717365,1,0,0.43628856239353037,0,0,0.21263444064492107,0,0,0.363706268030386,0,0,0.02547518754835751,0,1,0.9643866675413433,1
9,0,0.5166229784835307,1,0,0.3801691481488484,0,0,0.07526824711350577,0,1,0.5464930906560573,1,0,0.20112106797503113,0,0,0.270544478613308,0
10,1,0.7490728462705348,1,1,0.5839206721612149,1,1,0.6834074025107054,1,0,0.33411383624564406,0,0,0.12363890042666041,0,0,0.5357704541074501,0
