row_index,true_abusive,prob_abusive,pred_abusive,true_Race,prob_Race,pred_Race,true_Religion,prob_Religion,pred_Religion,true_Gender,prob_Gender,pred_Gender,true_Sexual_Orientation,prob_Sexual_Orientation,pred_Sexual_Orientation,true_Miscellaneous,prob_Miscellaneous,pred_Miscellaneous
0,1,0.8307362729629096,1,0,0.47018420991786763,1,1,0.7299002671653511,1,0,0.2841374510874972,1,0,0.08604221585523963,0,0,0.1499536428361418,0
1,1,0.2517951611422379,0,0,0.2238904669723941,0,0,0.1147552985851339,0,0,0.1208047951577665,0,0,0.02263272280170871,0,1,0.24928625864184414,1
2,1,0.8269263205599869,1,0,0.0880135634977619,0,0,0.008698444821371486,0,0,0.10974201345324625,0,1,0.3063104740898513,1,1,0.28202375504397376,1
3,1,0.9488192211452905,1,0,0.12129770242516302,0,0,0.12626707362087156,0,1,0.17079906218120264,0,1,0.35745338332612925,1,1,0.2963401621592364,1
4,1,0.7206752842206949,1,1,0.5327175544896132,1,0,0.10313875438971794,0,0,0.14273318882640065,0,1,0.01823633674835207,0,0,0.2791403694232239,1
5,1,0.47886208606371133,0,0,0.0663777181752153,0,0,0.0049322835820360825,0,1,0.47363061091184383,1,0,0.016997641048764986,0,0,0.08420357165335801,0
6,0,0.174386463717072,0,0,0.04536128001137113,0,0,0.00428489894614746,0,0,0.03625542435057777,0,0,0.37840569493867604,1,0,0.060650719145368126,0
7,0,0.27754671093636546,0,0,0.15750308913587474,0,0,0.04891680953067947,0,0,0.3374174417667724,1,0,0.011798913961264876,0,0,0.11477275107260258,0
8,0,0.3047394261580741,0,0,0.08682822636137445,0,0,0.03386885155674682,0,0,0.10329372689736965,0,0,0.013818654814063394,0,1,0.4462006323335504,1
9,1,0.6445018778677577,1,0,0.07061196084974196,0,0,0.07774618485864111,0,1,0.20062576352158779,0,0,0.019292838896100898,0,0,0.0949154856984231,0
10,1,0.5136227570017825,1,0,0.515740713063093,1,0,0.05289990468805472,0,0,0.07450287600550125,0,0,0.020225817779698382,0,1,0.4797621262444109,1
11,1,0.9155284450652131,1,0,0.0371775835005708,0,1,0.9638580474333521,1,1,0.10025023351608812,0,0,0.018192902892267816,0,0,0.07603833058143475,0
12,0,0.6563732787665536,1,0,0.1449319120720711,0,0,0.012174612001972762,0,0,0.2747661077191566,1,0,0.8546323261355403,1,0,0.13512480602300114,0
13,0,0.29522023054557894,0,0,0.025476250320250627,0,0,0.014035783728474117,0,0,0.16724688135478294,0,0,0.0054596875652566735,0,0,0.5141565423872035,1
14,0,0.5424040077411281,1,0,0.26324121418180263,0,0,0.10222974678949932,0,0,0.06021607486833234,0,0,0.013301902790382741,0,0,0.4403039512238111,1
15,1,0.953773537595688,1,1,0.9696680260154945,1,0,0.21666739508646038,0,0,0.09585045232290014,0,0,0.060918421309564715,0,0,0.21937794326411653,0
16,1,0.3850420085000547,0,1,0.4969942717097114,1,0,0.04864776172160166,0,0,0.07003913795931804,0,0,0.03762327008224351,0,0,0.07136707686437065,0
17,1,0.6974060517195548,1,0,0.03470903049801868,0,0,0.03695681057494634,0,0,0.16701448569840385,0,0,0.4034925431229319,1,0,0.0937013252450809,0
18,1,0.5605726333934001,1,1,0.20261126860489873,0,1,0.8081317516538995,1,1,0.168928699576394,0,0,0.050023560820450536,0,1,0.2202157628181138,0
19,1,0.8548274228152337,1,0,0.3179443082942264,0,1,0.8369585461975367,1,0,0.14123363344998827,0,0,0.024495334733385776,0,0,0.12832290133802304,0
20,1,0.9457998958163091,1,0,0.5572853764353393,1,1,0.9647766883604026,1,0,0.109873197148107,0,0,0.1100230085018094,0,1,0.14433605178564343,0
21,1,0.16646486071572733,0,1,0.25654506765149926,0,0,0.03081409857136634,0,0,0.052432302810454974,0,0,0.02042795038026161,0,0,0.15339549057312507,0
22,1,0.665228926562765,1,0,0.07243021214843043,0,0,0.03992522753454337,0,0,0.11991586353756112,0,1,0.9087232511761457,1,0,0.10440927099554166,0
23,0,0.4761613122511275,0,0,0.12530542959846314,0,0,0.11094289796255463,0,0,0.39299300771589135,1,0,0.10961114079415611,0,0,0.1252562055605492,0
24,0,0.8376727354402944,1,0,0.954203476667285,1,0,0.021859661393339225,0,0,0.19841651075561675,0,0,0.009864513952926245,0,0,0.06137833735130573,0
25,0,0.40543833001314694,0,0,0.10978719566646213,0,0,0.08579583124017853,0,0,0.23409684688715182,0,0,0.10199567343201994,0,0,0.09410238526789667,0
26,1,0.4011698474768484,0,0,0.1705754231597423,0,0,0.07125916847528392,0,1,0.26614326559360263,1,0,0.08862522844470065,0,0,0.22278101713300133,0
27,1,0.72176903625058,1,0,0.17991935504340262,0,1,0.7264124863221905,1,0,0.06232211835630747,0,0,0.10658621446005401,0,0,0.1502087183446501,0
28,0,0.5739229228969438,1,0,0.27878880602215955,0,0,0.1327030086968014,0,1,0.24758415044222573,0,0,0.036223745097936896,0,0,0.28596324963824366,1
29,1,0.5360282478346236,1,0,0.05424728147787489,0,0,0.02088487762758959,0,0,0.13870486364677512,0,0,0.026635884618703504,0,1,0.17342613011741848,0
30,1,0.8465336675321091,1,0,0.20178766652499527,0,0,0.1005385159342042,0,0,0.07509857120191299,0,0,0.03503275897466175,0,0,0.22629454106205862,0
31,0,0.5683008594598017,1,0,0.18104065374643818,0,0,0.03391119012340858,0,1,0.4112572240964521,1,0,0.09610037257537009,0,0,0.12441645153472959,0
32,1,0.7914740413284633,1,0,0.3271627652681462,0,1,0.9132582384876979,1,0,0.11198429123083416,0,0,0.03518453320850965,0,1,0.23825004348455914,1
33,0,0.8923514709843099,1,0,0.1829950627864213,0,1,0.9915389602800606,1,0,0.09646125369303533,0,0,0.011625395068475118,0,0,0.04066768887131622,0
34,1,0.9186007907341701,1,1,0.3667977954305419,0,1,0.6977818082040214,1,0,0.13378057369407467,0,0,0.061461767233733144,0,0,0.3037164344642273,1
35,0,0.5671393954328939,1,1,0.8581183638794694,1,0,0.0777707431608308,0,0,0.0650189415436022,0,0,0.013597792479197507,0,0,0.08428697595207989,0
36,1,0.8280636571890314,1,1,0.23788192304007372,0,1,0.6310608059952861,1,0,0.068653659057677,0,0,0.020252396941202195,0,0,0.09506464173703015,0
37,1,0.4173833337572337,0,0,0.3130888395425716,0,0,0.034598140026560795,0,0,0.19417295610320898,0,0,0.025801394101794037,0,0,0.1128742762108146,0
38,1,0.9467290222551462,1,0,0.16068221064348415,0,1,0.543491391854219,1,0,0.2094445553641712,0,1,0.5187867748799211,1,0,0.1990645724887221,0
39,0,0.44156262333212726,0,0,0.20952992249471766,0,0,0.09315400416041385,0,0,0.11790819656491214,0,0,0.011718052825169072,0,0,0.17200580064634588,0
40,1,0.6604479835480491,1,1,0.44756053450011507,1,0,0.05635771535799594,0,0,0.27435590968466267,1,0,0.016312588482147557,0,0,0.365609709444715,1
41,0,0.15902452974232326,0,0,0.0687135392214192,0,0,0.03915146669765959,0,0,0.11284711455878264,0,0,0.02642215792854549,0,0,0.11291495946364893,0
